NO,중복,구분1,구분2,구분3,구분4,파일명,경로,화면표시
195,,도로,군단위,TRSN_PS,신호등,TRSN_PS(신호등)-TEXT_속성뿌리기(도로),도로/01 군단위-도로/TRSN_PS(신호등)-TEXT_속성뿌리기(도로).LSP,"SGT_CDE ""->"" TSN_CDE ""/재질:"" TRM_CDE ""/지주규격:"" TRL_CDE ""/신호등규격:"" SGN_EXP ""/"" SGN_CNT ""EA"" ""/[잔:"" LFT_CDE ""/음향:"" SLT_CDE ""/교통안전표지유무:"" TRF_CDE ""]"""
196,42,도로,군단위,TRSN_PS,신호등,TRSN_PS(신호등)-TEXT_속성뿌리기(도로-군),도로/01 군단위-도로/TRSN_PS(신호등)-TEXT_속성뿌리기(도로-군).LSP,"""RDL_TRSN_PS(신호등)->"" SGT_CDE ""/"" SGN_CNT ""EA"" ""/"" TSN_CDE ""/재질:"" TRM_CDE ""/잔:"" LFT_CDE  ""/["" ""음향:"" SLT_CDE ""/지주규격:"" TRL_CDE ""/신호등규격:"" SGN_EXP ""/교통안전표지유무:"" TRF_CDE ""]"""
197,,도로,홍성군,TRSN_PS,신호등,TRSN_PS(신호등)-TEXT_속성뿌리기(도로-홍성군),도로/01 군단위-도로/TRSN_PS(신호등)-TEXT_속성뿌리기(도로-홍성군).LSP,"""신호등(AE132)->"" ""TSN_CDE(신호등종류):"" TSN_CDE ""/TRM_CDE(재질):"" TRM_CDE ""/구분:"" SGT_CDE ""/"" SGN_CNT ""EA"" ""/[잔:"" LFT_CDE ""/음향:"" SLT_CDE ""/표지:"" TRF_CDE ""]"""
198,43,도로,군단위,TSCT_PS,신호등제어기,TSCT_PS(신호등제어기)-TEXT_속성뿌리기(도로),도로/01 군단위-도로/TSCT_PS(신호등제어기)-TEXT_속성뿌리기(도로).LSP,"""신제->신호등구분_제어방식:"" CTR_CDE ""/신호등구분_도로:"" CRD_CDE ""/신호기제식:"" SGT_CDE ""/(차량신호등재질1:"" CM1_CDE ""/종류1:"" CT1_CDE ""/수량1:"" CA1_CNT "")/(차량신호등재질2:"" CM2_CDE ""/종류2:"" CT2_CDE ""/수량2:"" CA2_CNT "")/(보행등자전거재질1:"" CTR_CDE0 ""/종류1:"" CTR_CDE1 ""/수량1:"" CTR_CDE2 "")/(보행등자전거재질2:"" CTR_CDE3 ""/종류2:"" CTR_CDE4 ""/수량2:"" CTR_CDE5 "")"""
199,,도로,홍성군,TSCT_PS,신호등제어기,TSCT_PS(신호등제어기)-TEXT_속성뿌리기(도로-홍성군),도로/01 군단위-도로/TSCT_PS(신호등제어기)-TEXT_속성뿌리기(도로-홍성군).LSP,""".신제-"" CTR_CDE ""/"" CRD_CDE ""/신호기제식:"" SGT_CDE ""/재질1:"" CM1_CDE ""/종류1:"" CT1_CDE ""/수량1:"" CA1_CNT ""/지주규격1:"" CS1_CDE"" /지주규격1_개수:"" CS1_CNT"
200,,도로,진안군,BRDG_AS,교량,BRDG_AS(교량)-LINE_속성뿌리기(도로-군),도로/01 군단위-도로/진안군-도로(2017-1228)/BRDG_AS(교량)-LINE_속성뿌리기(도로-군).LSP,"""RDL_BRDG_AS(교량)->"" ""명:"" BRG_NAM ""/(상부공_차도폭:"" URD_WID ""/상부공_보도폭:"" UBD_WID "")"" ""/총연장:"" TOT_LEN ""/총폭원:"" ALL_WID ""/[난간재료:"" HDR_CDE ""/난관높이:"" HDR_HIT ""/난간W:"" HDR_WID ""/난간L:"" HDR_LEN ""]/횡단시설명:"" MFA_CDE ""/왕복차로수:"" LAN_CNT ""/경간수:"" DIS_CNT ""/조명시설_종류:"" LCD_EXP ""/조명갯수:"" LCD_CNT  ""\n"" ""'설계하중:"" DWG_CDE ""/허용통행하중:"" LIM_WET ""/통행제한높이:"" LIM_HIT ""/구조물등급:"" GRD_CDE ""/상부구조형식:"" UTY_CDE ""/하부구조형식:"" DTY_CDE ""/형태:"" AEA_CDE ""/종류:"" BJL_CDE ""/종별:"" FAC_CDE"
201,,도로,진안군,BRDG_AS,교량,BRDG_AS(교량)-LINE_속성뿌리기(도로-양평-선),도로/01 군단위-도로/진안군-도로(2017-1228)/BRDG_AS(교량)-LINE_속성뿌리기(도로-양평-선).LSP,"""RDL_BRDG_AS(교량)->"" ""명:"" BRG_NAM ""/경간수:"" DIS_CNT ""/횡단시설명:"" MFA_CDE ""/왕복차로수:"" LAN_CNT ""/[난간재료:"" HDR_CDE ""/난관높이:"" HDR_HIT ""/난간W:"" HDR_WID ""/난간L:"" HDR_LEN ""]"" ""/조명시설_종류:"" LCD_EXP ""/조명갯수:"" LCD_CNT  ""\n"" ""_(상부공_차도폭:"" URD_WID ""/상부공_보도폭:"" UBD_WID "")"" ""/총연장:"" TOT_LEN ""/총폭원:"" ALL_WID ""/설계하중:"" DWG_CDE ""/허용통행하중:"" LIM_WET ""/통행제한높이:"" LIM_HIT ""/구조물등급:"" GRD_CDE ""/상부구조형식:"" UTY_CDE ""/하부구조형식:"" DTY_CDE ""/형태:"" AEA_CDE ""/종류:"" BJL_CDE ""/종별:"" FAC_CDE"
202,28,도로,진안군,BYCP_AS,자전거도로,BYCP_AS(자전거도로)-LINE_속성뿌리기(도로-군)-중간,도로/01 군단위-도로/진안군-도로(2017-1228)/BYCP_AS(자전거도로)-LINE_속성뿌리기(도로-군)-중간.LSP,"""RDL_BYCP_AS(자전거도로)->"" CGB_CDE ""/위치:"" DRT_CDE ""/재질:"" SMW_CDE ""/경계종류:"" DWY_CDE ""/L:"" BYC_LEN ""/W:"" BYC_WID"
203,,도로,진안군,BYCP_AS,자전거도로,"BYCP_AS(자전거도로)-TEXT,POINT_속성뿌리기(도로-당진시)","도로/01 군단위-도로/진안군-도로(2017-1228)/BYCP_AS(자전거도로)-TEXT,POINT_속성뿌리기(도로-당진시).LSP","""RDL_BYCP_AS(자전거도로)->"" CGB_CDE ""/위치:"" DRT_CDE ""/재질:"" SMW_CDE ""/[W:"" BYC_WID ""/L:"" BYC_LEN ""]"" ""/경계종류:"" DWY_CDE"
204,29,도로,진안군,CROS_PS,교차시설,CROS_PS(교차시설)-TEXT_속성뿌리기(도로)-구분,도로/01 군단위-도로/진안군-도로(2017-1228)/CROS_PS(교차시설)-TEXT_속성뿌리기(도로)-구분.LSP,"""RDL_CROS_PS(교차시설)->[명:"" FTR_CDE ""/L:"" RTR_LEN ""/W:"" RTR_WID ""]-[교차로->명:"" RTR_NAM ""/교차로수:"" RTR_CNT ""/방식:"" RTR_CDE ""]"""
205,,도로,진안군,CTLR_LS,도로중심선,CTLR_LS(도로중심선)-LINE_속성뿌리기(도로)-LW만,도로/01 군단위-도로/진안군-도로(2017-1228)/CTLR_LS(도로중심선)-LINE_속성뿌리기(도로)-LW만.LSP,"""RDL_CTLR_LS(도로중심선)->"" ""_[L:"" RDL_LEN ""/W:"" RDL_WID ""]"" ;; AD002/구간:"" GGB_CDE ""/중용:"" JYG_CDE""/("" PAV_CDE ""/가로명도로명:"" AVE_NAM "")"""
206,,도로,진안군,CTLR_LS,도로중심선,CTLR_LS(도로중심선)-LINE_속성뿌리기(도로-군)-N,도로/01 군단위-도로/진안군-도로(2017-1228)/CTLR_LS(도로중심선)-LINE_속성뿌리기(도로-군)-N.LSP,"""RDL_CTLR_LS(도로중심선)->"" GGB_CDE ""/중용:"" JYG_CDE ""/L:"" RDL_LEN ""/W:"" RDL_WID"
207,44,도로,진안군,ETCT_PS,기타시설(점),ETCT_PS(기타시설(점))-TEXT_속성뿌리기(도로),도로/01 군단위-도로/진안군-도로(2017-1228)/ETCT_PS(기타시설(점))-TEXT_속성뿌리기(도로).LSP,"""RDL_ETCT_PS(기타시설(점->"" FTR_CDE"
208,1,도로,진안군,FTR_CDE,지형지물부호,FTR_CDE(지형지물부호)-LINE_속성뿌리기(도로),도로/01 군단위-도로/진안군-도로(2017-1228)/FTR_CDE(지형지물부호)-LINE_속성뿌리기(도로).LSP,"""FTR_CDE(지형지물부호):_"" FTR_CDE"
209,1,도로,진안군,FTR_CDE,지형지물부호,FTR_CDE(지형지물부호)-TEXT_속성뿌리기(도로-군),도로/01 군단위-도로/진안군-도로(2017-1228)/FTR_CDE(지형지물부호)-TEXT_속성뿌리기(도로-군).LSP,"""FTR_CDE(지형지물부호):_ "" FTR_CDE"
210,30,도로,진안군,HELP_AS,장애인편의시설,HELP_AS(장애인편의시설)-LINE_속성뿌리기(도로),도로/01 군단위-도로/진안군-도로(2017-1228)/HELP_AS(장애인편의시설)-LINE_속성뿌리기(도로).LSP,"""RDL_HELP_AS(장애인편의시설)->"" ""L:"" BLC_LEN ""/낮:"" BTK_CDE ""/블:"" BLC_CDE ""/위치:"" DRT_CDE"
211,,도로,진안군,HELP_AS,장애인편의시설,HELP_AS(장애인편의시설)-TEXT_속성뿌리기(도로),도로/01 군단위-도로/진안군-도로(2017-1228)/HELP_AS(장애인편의시설)-TEXT_속성뿌리기(도로).LSP,"""RDL_HELP_AS(장애인편의시설)->"" ""위치:"" DRT_CDE ""/"" ""L:"" BLC_LEN ""/턱낮추기유무:"" BTK_CDE ""/유도블럭종류:"" BLC_CDE"
